trade_id,market_id,ticker,price,price_dollars,count,count_fp,taker_side,maker_action,taker_action,maker_nickname,taker_nickname,maker_social_id,taker_social_id,create_date
4f4b572c-7776-5ac7-1b6c-556c46e254fd,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,491,491.0,yes,sell,buy,brand.range,conniemak0816,783896a9-a6bf-42b5-9df0-2dda3e907629,d1cf59ec-ab35-4132-a129-ae35efc6d9c1,2026-01-31T19:37:00.110063Z
48c68ceb-aca6-6757-7c79-c17f877958cd,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,93,93.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T19:34:17.85293Z
7ea4597b-e5f6-6be7-4962-b923fdd66e01,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,187,187.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T19:31:01.50377Z
c93d92b6-cd82-6e83-c40a-5c4a0a08f5c5,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,93,93.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T19:30:45.624037Z
37e62fce-8bce-5803-67bf-447c6a200f0d,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,93,93.0,yes,sell,buy,brand.range,pad.weed,783896a9-a6bf-42b5-9df0-2dda3e907629,ecd5cf16-f461-4a47-bdc7-c0c91a15bb9d,2026-01-31T18:20:35.271089Z
99647bce-fff2-6b6f-fde3-24afaa1c8605,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,93,93.0,yes,sell,buy,brand.range,soil.fool,783896a9-a6bf-42b5-9df0-2dda3e907629,c3209b57-523c-47ea-871c-0abbcecb67ac,2026-01-31T17:41:04.239347Z
5840e680-31aa-469f-3081-c4adc642afdd,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T17:36:27.947209Z
c04b0267-71a2-570b-72db-36ea1c413bdd,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T17:08:17.15038Z
8ef91d6c-358e-467f-3f9a-b75b470094a1,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,2337,2337.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T16:49:35.0305Z
e8334194-5c6a-65db-9af8-7450eec1ded1,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T16:30:18.002969Z
5489c291-3c6a-57d3-eb35-59dac8a0d46d,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,2337,2337.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T16:04:13.499084Z
48cbbf4d-6dfa-4b27-005f-4b3a1243debd,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,Ben.money,783896a9-a6bf-42b5-9df0-2dda3e907629,b718e53b-0c93-4421-9aeb-3ea19cf48fa9,2026-01-31T16:00:42.721387Z
65a05d1c-8422-5cbb-1a4f-2576fead0a99,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,935,935.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T15:58:13.092562Z
6be186a7-4942-6d23-72a2-fec34b6b1bf9,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,935,935.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T15:58:09.936218Z
4795a39d-2a2e-505f-e23f-4d289f253531,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,san2r,783896a9-a6bf-42b5-9df0-2dda3e907629,ccabae9f-7dc4-4049-b71a-6b65a216d0f2,2026-01-31T15:51:10.548091Z
ddd438af-011a-568b-fd12-3d3ab9c26759,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,187,187.0,yes,sell,buy,brand.range,tall.stretch,783896a9-a6bf-42b5-9df0-2dda3e907629,a921e09a-430d-4059-8817-c825d0d88b16,2026-01-31T15:35:48.711419Z
6808cdc2-5b62-7bef-8a36-5a1cf939c7d9,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,93,93.0,yes,sell,buy,brand.range,jusiage,783896a9-a6bf-42b5-9df0-2dda3e907629,3e5fb464-501a-4929-85ce-6c30eb35f97e,2026-01-31T15:30:38.598323Z
03bfe33a-c3d2-7e1b-3ee0-cbe6a7024f85,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,374,374.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T14:42:51.099553Z
9ec3492e-cfce-6373-ac59-014d398ebe59,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,935,935.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T14:40:25.905444Z
90c11c36-4b52-5383-7f40-bd9b4f5a52fd,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T14:35:06.025676Z
cfe86ca4-b3b6-74b3-318b-96da4aea2fc1,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,187,187.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T14:16:03.389853Z
ca6c382d-2eda-60bf-48d6-8fcb6c823065,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,374,374.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T13:39:58.207843Z
bd0cad13-59da-4863-e973-042dcb8c101d,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,93,93.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T12:26:01.033286Z
05e72f12-a712-654f-e98d-0192f1b50f65,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T12:12:03.26312Z
1f64146c-1d92-500b-bc91-e06bf9b6d881,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,93,93.0,yes,sell,buy,brand.range,lukerides269,783896a9-a6bf-42b5-9df0-2dda3e907629,ed10a779-891f-4925-a5aa-a2abdfc488fa,2026-01-31T10:51:34.003022Z
aeb0077e-ed5a-4733-ecb4-e4cfbf03c7b9,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,280,280.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T10:15:45.248113Z
e3f20661-d296-500b-cafb-7aa81882b021,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,935,935.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T07:09:11.903303Z
f5acc330-4166-550f-6508-bf0a621438c9,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,935,935.0,yes,sell,buy,brand.range,rodz3,783896a9-a6bf-42b5-9df0-2dda3e907629,48508902-4c1b-48ad-9fa3-ac617579fa03,2026-01-31T05:26:29.911819Z
88a2f6d6-76b2-5807-1dfd-8ea5fd217d09,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T04:45:45.767835Z
291ded12-c45a-7bef-6c56-c75d36ebd6f9,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,1402,1402.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T04:45:00.348273Z
af644614-288a-6517-8481-f5c5ba8f7f41,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,935,935.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T04:35:56.172698Z
5f35bb36-aae6-519f-80e1-c08d909dcf4d,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,anthonyc0627,783896a9-a6bf-42b5-9df0-2dda3e907629,e2d3db02-92b9-4a33-9466-76eb93b5828b,2026-01-31T04:05:17.732063Z
a6a1e335-bada-6503-570f-a7e032b2d73d,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,93,93.0,yes,sell,buy,brand.range,Derrick4444,783896a9-a6bf-42b5-9df0-2dda3e907629,4bbe258a-517e-4ce9-84ab-d87f3c62f094,2026-01-31T03:30:07.055253Z
ea72437c-7062-5cf3-093a-57e5948e0c15,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,280,280.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T02:19:55.926218Z
0c920de0-579a-4193-4f08-c84e65ceabad,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,935,935.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T00:56:16.137282Z
b8f8c8e0-87de-6fa3-1b7f-d1efa0c4f4fd,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,93,93.0,yes,sell,buy,brand.range,pain.cry,783896a9-a6bf-42b5-9df0-2dda3e907629,02b50475-5176-42f0-a901-31148aba2739,2026-01-31T00:25:12.670708Z
f3bb979e-e1ba-5b5f-0375-37de74ba3511,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-31T00:01:10.233525Z
9f4f6e4d-8496-7cd7-3c77-2f498b1acb31,573ec7d5-48a9-49c8-9915-2f25fa1fe143,KXMIASNOWM-26JAN-0.1,1,0.01,467,467.0,yes,sell,buy,brand.range,,783896a9-a6bf-42b5-9df0-2dda3e907629,,2026-01-30T22:17:40.105819Z
